id,display_name,functional_name,category,scope,trigger_type,condition_type,condition_value,badge_grade,description
dist_cum_5km,첫걸음,누적거리 5km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 5}",bronze,평생 누적 러닝 거리가 5km를 넘으면 획득
dist_cum_15km,워밍업,누적거리 15km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 15}",bronze,평생 누적 러닝 거리가 15km를 넘으면 획득
dist_cum_30km,루트,누적거리 30km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 30}",bronze,평생 누적 러닝 거리가 30km를 넘으면 획득
dist_cum_60km,페이서,누적거리 60km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 60}",silver,평생 누적 러닝 거리가 60km를 넘으면 획득
dist_cum_120km,질주,누적거리 120km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 120}",silver,평생 누적 러닝 거리가 120km를 넘으면 획득
dist_cum_300km,질주자,누적거리 300km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 300}",silver,평생 누적 러닝 거리가 300km를 넘으면 획득
dist_cum_600km,장정,누적거리 600km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 600}",gold,평생 누적 러닝 거리가 600km를 넘으면 획득
dist_cum_1000km,천리길,누적거리 1000km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 1000}",gold,평생 누적 러닝 거리가 1000km를 넘으면 획득
dist_cum_1500km,로드러너,누적거리 1500km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 1500}",gold,평생 누적 러닝 거리가 1500km를 넘으면 획득
dist_cum_2500km,레인저,누적거리 2500km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 2500}",platinum,평생 누적 러닝 거리가 2500km를 넘으면 획득
dist_cum_4000km,노마드,누적거리 4000km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 4000}",platinum,평생 누적 러닝 거리가 4000km를 넘으면 획득
dist_cum_6000km,개척자,누적거리 6000km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 6000}",platinum,평생 누적 러닝 거리가 6000km를 넘으면 획득
dist_cum_8000km,정복자,누적거리 8000km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 8000}",diamond,평생 누적 러닝 거리가 8000km를 넘으면 획득
dist_cum_10000km,레전드,누적거리 10000km 달성,누적거리,permanent,cumulative,cumulative_distance_gte,"{""distanceKm"": 10000}",diamond,평생 누적 러닝 거리가 10000km를 넘으면 획득
cnt_cum_1,첫 러닝,첫 러닝 완료,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 1}",bronze,검증된 러닝 세션 누적 1회 달성 시 획득
cnt_cum_10,루틴,누적 러닝 10회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 10}",bronze,검증된 러닝 세션 누적 10회 달성 시 획득
cnt_cum_25,습관,누적 러닝 25회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 25}",silver,검증된 러닝 세션 누적 25회 달성 시 획득
